XP_647835.1	[0.8817224]
XP_659631.1	[0.69908]
XP_659640.1	[0.98936313]
XP_659674.1	[0.81992304]
XP_659686.1	[0.7807647]
XP_659693.1	[0.65525365]
XP_659705.1	[0.95526046]
XP_659717.1	[0.9552934]
XP_659726.1	[0.9810038]
XP_659729.1	[0.87196493]
XP_659740.1	[0.9855078]
XP_659755.1	[0.58102655]
XP_659764.1	[0.87875503]
XP_659772.1	[0.98596]
XP_659773.1	[0.76570195]
XP_659775.1	[0.5115912]
XP_659785.1	[0.8988309]
XP_659786.1	[0.67463446]
XP_659815.1	[0.840617]
XP_659819.1	[0.80364805]
XP_659851.1	[0.98561263]
XP_659858.1	[0.73473614]
XP_659874.1	[0.97539]
XP_659878.1	[0.69839865]
XP_659894.1	[0.989652]
XP_659895.1	[0.99052715]
XP_659928.1	[0.8968325]
XP_659958.1	[0.9883704]
XP_659986.1	[0.99114436]
XP_659996.1	[0.9825044]
XP_660025.1	[0.99189645]
XP_660030.1	[0.74830985]
XP_660037.1	[0.9088262]
XP_660063.1	[0.7962312]
XP_660185.1	[0.5276278]
XP_660201.1	[0.9898335]
XP_660219.1	[0.9903645]
XP_660248.1	[0.989551]
XP_660274.1	[0.9757284]
XP_660318.1	[0.855006]
XP_660322.1	[0.9915188]
XP_660328.1	[0.97758406]
XP_660336.1	[0.99003285]
XP_660349.1	[0.74002236]
XP_660351.1	[0.98854744]
XP_660352.1	[0.9902146]
XP_660359.1	[0.9890717]
XP_660362.1	[0.5283818]
XP_660370.1	[0.7863236]
XP_660374.1	[0.85417557]
XP_660375.1	[0.6840474]
XP_660384.1	[0.9465166]
XP_660389.1	[0.9865025]
XP_660430.1	[0.9916044]
XP_660443.1	[0.980699]
XP_660453.1	[0.63096654]
XP_660456.1	[0.98438936]
XP_660458.1	[0.9869265]
XP_660459.1	[0.98950815]
XP_660476.1	[0.9674518]
XP_660489.1	[0.94985765]
XP_660515.1	[0.8951007]
XP_660523.1	[0.96041244]
XP_660541.1	[0.8129097]
XP_660545.1	[0.9331256]
XP_660548.1	[0.9905962]
XP_660549.1	[0.74732417]
XP_660583.1	[0.7618903]
XP_660588.1	[0.98158216]
XP_660632.1	[0.9523615]
XP_660643.1	[0.50412256]
XP_660644.1	[0.95007443]
XP_660651.1	[0.99052244]
XP_660652.1	[0.9880881]
XP_660654.1	[0.968702]
XP_660660.1	[0.7187187]
XP_660679.1	[0.99019414]
XP_660693.1	[0.92312056]
XP_660703.1	[0.9306754]
XP_660720.1	[0.99022806]
XP_660724.1	[0.9336076]
XP_660748.1	[0.98717725]
XP_660749.1	[0.9605622]
XP_660778.1	[0.5691954]
XP_660787.1	[0.7693686]
XP_660793.1	[0.98511213]
XP_660817.1	[0.98426926]
XP_660821.1	[0.9907476]
XP_660873.1	[0.9896226]
XP_660894.1	[0.9899093]
XP_660973.1	[0.97490394]
XP_660989.1	[0.99168944]
XP_660995.1	[0.9878207]
XP_661037.1	[0.9918269]
XP_661040.1	[0.9858744]
XP_661041.1	[0.9837262]
XP_661042.1	[0.9702103]
XP_661062.1	[0.8265105]
XP_661064.1	[0.88789374]
XP_661072.1	[0.9372716]
XP_661082.1	[0.9889149]
XP_661096.1	[0.9913794]
XP_661104.1	[0.5893743]
XP_661105.1	[0.9697785]
XP_661106.1	[0.9879389]
XP_661110.1	[0.99026185]
XP_661122.1	[0.9643249]
XP_661131.1	[0.7208248]
XP_661182.1	[0.8681071]
XP_661198.1	[0.9253141]
XP_661211.1	[0.99183136]
XP_661241.1	[0.98776686]
XP_661253.1	[0.6607351]
XP_661254.1	[0.9906081]
XP_661271.1	[0.9865993]
XP_661272.1	[0.9630545]
XP_661279.1	[0.7659995]
XP_661287.1	[0.9907877]
XP_661288.1	[0.99009925]
XP_661292.1	[0.9906557]
XP_661347.1	[0.93761027]
XP_661354.1	[0.8441426]
XP_661364.1	[0.9888803]
XP_661372.1	[0.97747076]
XP_661388.1	[0.96367]
XP_661399.1	[0.9269596]
XP_661419.1	[0.8528262]
XP_661439.1	[0.98982084]
XP_661448.1	[0.9826323]
XP_661472.1	[0.95217234]
XP_661483.1	[0.97170055]
XP_661503.1	[0.9808467]
XP_661504.1	[0.99064964]
XP_661510.1	[0.5986186]
XP_661511.1	[0.7849086]
XP_661515.1	[0.98592955]
XP_661516.1	[0.9785438]
XP_661528.1	[0.85539883]
XP_661545.1	[0.51624405]
XP_661549.1	[0.9869038]
XP_661560.1	[0.9785265]
XP_661585.1	[0.874638]
XP_661590.1	[0.97994745]
XP_661606.1	[0.87651134]
XP_661617.1	[0.9712228]
XP_661625.1	[0.9804468]
XP_661630.1	[0.98115414]
XP_661631.1	[0.6053758]
XP_661634.1	[0.5860296]
XP_661638.1	[0.9857841]
XP_661639.1	[0.99071234]
XP_661667.1	[0.8166043]
XP_661681.1	[0.9911233]
XP_661700.1	[0.99036926]
XP_661722.1	[0.9859664]
XP_661727.1	[0.9893594]
XP_661738.1	[0.9697697]
XP_661740.1	[0.9865492]
XP_661765.1	[0.6012064]
XP_661773.1	[0.74680966]
XP_661779.1	[0.9893092]
XP_661795.1	[0.96646625]
XP_661814.1	[0.9741998]
XP_661818.1	[0.7639196]
XP_661833.1	[0.9023884]
XP_661851.1	[0.9884017]
XP_661867.1	[0.9882295]
XP_661873.1	[0.9463316]
XP_661902.1	[0.8453014]
XP_661925.1	[0.98271865]
XP_661928.1	[0.9860518]
XP_661938.1	[0.988913]
XP_661939.1	[0.99082786]
XP_661953.1	[0.66534704]
XP_661954.1	[0.5318452]
XP_661961.1	[0.9858683]
XP_661962.1	[0.6325969]
XP_661965.1	[0.9735994]
XP_661987.1	[0.9787991]
XP_661995.1	[0.9882953]
XP_661998.1	[0.98788106]
XP_662022.1	[0.7899949]
XP_662048.1	[0.88928854]
XP_662076.1	[0.9828902]
XP_662089.1	[0.9753441]
XP_662090.1	[0.9906364]
XP_662093.1	[0.98991185]
XP_662113.1	[0.9495931]
XP_662131.1	[0.84200245]
XP_662146.1	[0.9635619]
XP_662148.1	[0.96771944]
XP_662162.1	[0.99075854]
XP_662166.1	[0.99005693]
XP_662175.1	[0.8928387]
XP_662190.1	[0.9883016]
XP_662210.1	[0.98820865]
XP_662216.1	[0.8185284]
XP_662222.1	[0.98702747]
XP_662226.1	[0.98707354]
XP_662228.1	[0.87180173]
XP_662230.1	[0.98399425]
XP_662243.1	[0.79995376]
XP_662251.1	[0.9709925]
XP_662254.1	[0.83410954]
XP_662258.1	[0.9591188]
XP_662261.1	[0.8350442]
XP_662264.1	[0.9486428]
XP_662280.1	[0.75859815]
XP_662296.1	[0.5007426]
XP_662303.1	[0.65041786]
XP_662309.1	[0.7977764]
XP_662324.1	[0.991508]
XP_662348.1	[0.99044704]
XP_662368.1	[0.6914728]
XP_662401.1	[0.9783685]
XP_662408.1	[0.8970634]
XP_662412.1	[0.7099906]
XP_662432.1	[0.91770124]
XP_662454.1	[0.8847044]
XP_662474.1	[0.77253777]
XP_662477.1	[0.9905737]
XP_662481.1	[0.9880713]
XP_662491.1	[0.6591653]
XP_662498.1	[0.96962166]
XP_662503.1	[0.6041763]
XP_662504.1	[0.98939717]
XP_662537.1	[0.9892107]
XP_662556.1	[0.97885877]
XP_662564.1	[0.9237944]
XP_662576.1	[0.99067515]
XP_662580.1	[0.9917568]
XP_662584.1	[0.94566613]
XP_662585.1	[0.5595743]
XP_662589.1	[0.96038777]
XP_662607.1	[0.9907323]
XP_662616.1	[0.9327132]
XP_662630.1	[0.7500321]
XP_662644.1	[0.9878571]
XP_662652.1	[0.9904289]
XP_662674.1	[0.94032496]
XP_662675.1	[0.65533376]
XP_662682.1	[0.9842904]
XP_662698.1	[0.83304834]
XP_662728.1	[0.89163435]
XP_662759.1	[0.96478146]
XP_662774.1	[0.9904385]
XP_662776.1	[0.6474434]
XP_662801.1	[0.5676294]
XP_662805.1	[0.84778905]
XP_662822.1	[0.9725714]
XP_662824.1	[0.9902458]
XP_662833.1	[0.9353574]
XP_662837.1	[0.5351559]
XP_662851.1	[0.94732654]
XP_662883.1	[0.6430948]
XP_662897.1	[0.65179294]
XP_662903.1	[0.9714579]
XP_662910.1	[0.96157014]
XP_662938.1	[0.9898038]
XP_662944.1	[0.92328405]
XP_662962.1	[0.93432117]
XP_662994.1	[0.9738781]
XP_663016.1	[0.9803602]
XP_663035.1	[0.9870134]
XP_663040.1	[0.69119036]
XP_663041.1	[0.9447277]
XP_663043.1	[0.98345333]
XP_663077.1	[0.74068326]
XP_663080.1	[0.91727585]
XP_663085.1	[0.8661097]
XP_663089.1	[0.543997]
XP_663093.1	[0.98649675]
XP_663103.1	[0.767084]
XP_663120.1	[0.98233473]
XP_663137.1	[0.9917965]
XP_663150.1	[0.86288923]
XP_663156.1	[0.6305842]
XP_663159.1	[0.77612835]
XP_663164.1	[0.78757066]
XP_663166.1	[0.97411114]
XP_663174.1	[0.60800666]
XP_663196.1	[0.61212486]
XP_663198.1	[0.9723389]
XP_663207.1	[0.6547937]
XP_663213.1	[0.98878956]
XP_663224.1	[0.81976455]
XP_663244.1	[0.9461826]
XP_663253.1	[0.65806764]
XP_663255.1	[0.7459125]
XP_663263.1	[0.75158376]
XP_663330.1	[0.9915767]
XP_663343.1	[0.8187432]
XP_663347.1	[0.8129124]
XP_663354.1	[0.87735015]
XP_663379.1	[0.9916108]
XP_663391.1	[0.92903847]
XP_663398.1	[0.5234645]
XP_663399.1	[0.98087436]
XP_663401.1	[0.9735893]
XP_663412.1	[0.99022233]
XP_663433.1	[0.9620396]
XP_663440.1	[0.71737367]
XP_663453.1	[0.98672557]
XP_663455.1	[0.6412133]
XP_663463.1	[0.9790871]
XP_663474.1	[0.9842854]
XP_663495.1	[0.78636533]
XP_663528.1	[0.990338]
XP_663533.1	[0.98269755]
XP_663567.1	[0.9434047]
XP_663570.1	[0.99171716]
XP_663585.1	[0.90625423]
XP_663592.1	[0.9728591]
XP_663616.1	[0.8600693]
XP_663664.1	[0.8756148]
XP_663665.1	[0.9005688]
XP_663666.1	[0.99041337]
XP_663669.1	[0.9450777]
XP_663684.1	[0.71387815]
XP_663708.1	[0.90905166]
XP_663751.1	[0.862328]
XP_663754.1	[0.9738479]
XP_663764.1	[0.58354163]
XP_663777.1	[0.9706123]
XP_663778.1	[0.951185]
XP_663782.1	[0.89906275]
XP_663791.1	[0.7243446]
XP_663796.1	[0.544897]
XP_663799.1	[0.9801819]
XP_663822.1	[0.97654665]
XP_663825.1	[0.98664397]
XP_663832.1	[0.5570745]
XP_663845.1	[0.80184907]
XP_663851.1	[0.5491395]
XP_663856.1	[0.9262034]
XP_663865.1	[0.9218785]
XP_663866.1	[0.9270639]
XP_663884.1	[0.8273526]
XP_663897.1	[0.9643988]
XP_663908.1	[0.99011314]
XP_663912.1	[0.971626]
XP_663920.1	[0.62126625]
XP_663946.1	[0.7998269]
XP_663947.1	[0.5012471]
XP_663996.1	[0.9717953]
XP_664000.1	[0.99067533]
XP_664050.1	[0.7878938]
XP_664084.1	[0.6508602]
XP_664096.1	[0.9839485]
XP_664107.1	[0.99188715]
XP_664155.1	[0.93663514]
XP_664162.1	[0.9826789]
XP_664163.1	[0.9882953]
XP_664164.1	[0.5234569]
XP_664173.1	[0.9685126]
XP_664187.1	[0.5592294]
XP_664219.1	[0.757743]
XP_664221.1	[0.9821463]
XP_664222.1	[0.66068923]
XP_664229.1	[0.69080687]
XP_664238.1	[0.6931679]
XP_664250.1	[0.988054]
XP_664271.1	[0.98836786]
XP_664279.1	[0.5538942]
XP_664291.1	[0.98785514]
XP_664351.1	[0.9906459]
XP_664366.1	[0.9622427]
XP_664392.1	[0.9905453]
XP_664394.1	[0.9061349]
XP_664404.1	[0.8409467]
XP_664432.1	[0.98759824]
XP_664436.1	[0.9891199]
XP_664441.1	[0.9883046]
XP_664450.1	[0.99034065]
XP_664453.1	[0.99178934]
XP_664484.1	[0.8260948]
XP_664493.1	[0.98785585]
XP_664503.1	[0.94875395]
XP_664523.1	[0.8765599]
XP_664581.1	[0.9204228]
XP_664591.1	[0.51606]
XP_664602.1	[0.99182606]
XP_664606.1	[0.61882204]
XP_664619.1	[0.98001957]
XP_664654.1	[0.9907952]
XP_664665.1	[0.9902935]
XP_664677.1	[0.9918303]
XP_664682.1	[0.9262381]
XP_664722.1	[0.9842896]
XP_664767.1	[0.97806156]
XP_664774.1	[0.77369666]
XP_664778.1	[0.9801675]
XP_664793.1	[0.9907307]
XP_680478.1	[0.9694063]
XP_680492.1	[0.98070633]
XP_680526.1	[0.97077245]
XP_680545.1	[0.5411382]
XP_680549.1	[0.6154992]
XP_680566.1	[0.54526764]
XP_680595.1	[0.9869219]
XP_680601.1	[0.9903619]
XP_680611.1	[0.87797135]
XP_680612.1	[0.9782869]
XP_680615.1	[0.9872978]
XP_680629.1	[0.9753764]
XP_680632.1	[0.91517323]
XP_680648.1	[0.66072184]
XP_680700.1	[0.5256042]
XP_680703.1	[0.9462551]
XP_680724.1	[0.98286843]
XP_680737.1	[0.99081695]
XP_680764.1	[0.8804497]
XP_680765.1	[0.96593815]
XP_680776.1	[0.97901595]
XP_680777.1	[0.98328364]
XP_680782.1	[0.9918997]
XP_680785.1	[0.9896937]
XP_680807.1	[0.9815244]
XP_680814.1	[0.98043895]
XP_680822.1	[0.9820594]
XP_680825.1	[0.87220794]
XP_680841.1	[0.98116904]
XP_680847.1	[0.9771892]
XP_680852.1	[0.70435894]
XP_680861.1	[0.93701625]
XP_680865.1	[0.9774851]
XP_680879.1	[0.9871373]
XP_680881.1	[0.77867293]
XP_680895.1	[0.9828622]
XP_680920.1	[0.965041]
XP_680924.1	[0.9761153]
XP_680930.1	[0.9752715]
XP_680950.1	[0.8017775]
XP_680958.1	[0.9484479]
XP_680963.1	[0.9227348]
XP_680982.1	[0.8861652]
XP_680992.1	[0.7883027]
XP_681026.1	[0.8394202]
XP_681034.1	[0.90662533]
XP_681045.1	[0.9775348]
XP_681057.1	[0.9898086]
XP_681089.1	[0.99178594]
XP_681099.1	[0.73886746]
XP_681110.1	[0.9644573]
XP_681136.1	[0.990737]
XP_681141.1	[0.9605334]
XP_681182.1	[0.9374024]
XP_681190.1	[0.9831102]
XP_681197.1	[0.8882131]
XP_681237.1	[0.9911342]
XP_681240.1	[0.9906623]
XP_681260.1	[0.9562902]
XP_681262.1	[0.9092376]
XP_681300.1	[0.74824405]
XP_681304.1	[0.73013914]
XP_681308.1	[0.98821324]
XP_681370.1	[0.7105352]
XP_681372.1	[0.98841375]
XP_681380.1	[0.97157955]
XP_681385.1	[0.748241]
XP_681394.1	[0.90932196]
XP_681398.1	[0.91773176]
XP_681429.1	[0.79806954]
XP_681430.1	[0.9902928]
XP_681433.1	[0.9896589]
XP_681446.1	[0.7474223]
XP_681455.1	[0.99082863]
XP_681461.1	[0.7941662]
XP_681477.1	[0.7684762]
XP_681496.1	[0.9842181]
XP_681504.1	[0.9835466]
XP_681520.1	[0.9916938]
XP_681540.1	[0.98184997]
XP_681567.1	[0.99151844]
XP_681624.1	[0.9904103]
XP_681626.1	[0.98873436]
XP_681646.1	[0.98989546]
XP_681660.1	[0.9910233]
XP_681683.1	[0.99041724]
XP_681695.1	[0.99069816]
XP_681700.1	[0.97897345]
XP_681729.1	[0.99031687]
XP_681742.1	[0.99034446]
XP_681756.1	[0.98081654]
XP_681775.1	[0.9900982]
XP_681777.1	[0.9667662]
XP_681778.1	[0.9912999]
XP_681786.1	[0.8916437]
XP_681789.1	[0.8916437]
XP_681804.1	[0.9905255]
XP_681845.1	[0.9483408]
XP_681859.1	[0.988535]
XP_681867.1	[0.98234427]
XP_681869.1	[0.9776954]
XP_681882.1	[0.9439216]
XP_681912.1	[0.98893994]
XP_681914.1	[0.6368524]
XP_681917.1	[0.8322703]
XP_681924.1	[0.98983496]
XP_681935.1	[0.9918876]
XP_681936.1	[0.9905123]
XP_681939.1	[0.9836231]
XP_681945.1	[0.93340087]
XP_681963.1	[0.9918876]
XP_681965.1	[0.9485787]
XP_681966.1	[0.7866051]
XP_681986.1	[0.9913571]
XP_682004.1	[0.9768544]
XP_682010.1	[0.98732215]
XP_682022.1	[0.9894326]
XP_682043.1	[0.6308683]
XP_682048.1	[0.8487807]
XP_682057.1	[0.98938143]
XP_682095.1	[0.56057465]
XP_682103.1	[0.97858536]
XP_682126.1	[0.8425276]
XP_682127.1	[0.976844]
XP_682154.1	[0.9905105]
XP_682163.1	[0.9905003]
XP_682171.1	[0.9907725]
XP_682199.1	[0.983012]
XP_682207.1	[0.9859394]
XP_682230.1	[0.9834843]
XP_682242.1	[0.97349393]
XP_682247.1	[0.6989746]
XP_682282.1	[0.9840575]
XP_682294.1	[0.9772948]
XP_682316.1	[0.9890754]
XP_682317.1	[0.70375454]
XP_682319.1	[0.9899749]
XP_682327.1	[0.6811193]
XP_682330.1	[0.96241045]
XP_682356.1	[0.7892853]
XP_682365.1	[0.7233587]
XP_682371.1	[0.9170244]
XP_682373.1	[0.98584044]
XP_682389.1	[0.78911126]
XP_682390.1	[0.9522728]
XP_682401.1	[0.9799702]
XP_682410.1	[0.95636225]
XP_682413.1	[0.9194597]
XP_682416.1	[0.9821228]
XP_682419.1	[0.9834857]
XP_682451.1	[0.98023623]
XP_682505.1	[0.98981756]
XP_682552.1	[0.9429478]
XP_682561.1	[0.99141425]
XP_682562.1	[0.899178]
XP_682597.1	[0.990764]
XP_682604.1	[0.9610518]
XP_682618.1	[0.7114868]
XP_682627.1	[0.8143158]
XP_682629.1	[0.91181594]
XP_682645.1	[0.9883143]
XP_682650.1	[0.9905997]
XP_682664.1	[0.9903562]
XP_682666.1	[0.94286335]
XP_868816.1	[0.7371433]
XP_868830.1	[0.985769]
XP_868874.1	[0.98237014]
XP_868877.1	[0.99135244]
XP_868882.1	[0.99171984]
XP_868887.1	[0.9890125]
XP_868905.1	[0.6612383]
XP_868917.1	[0.83343893]
XP_868921.1	[0.9904757]
XP_868923.1	[0.950342]
