XP_001728056.1	[0.69480646]
XP_011393808.1	[0.98051584]
XP_011393820.1	[0.99024045]
XP_011393821.1	[0.99023706]
XP_011393829.1	[0.8312157]
XP_011393830.1	[0.821889]
XP_011393867.1	[0.87415206]
XP_011393868.1	[0.9836429]
XP_011393869.1	[0.9675427]
XP_011393877.1	[0.9838579]
XP_011393878.1	[0.98372155]
XP_011393923.1	[0.84247875]
XP_011393924.1	[0.9848164]
XP_011393925.1	[0.98480487]
XP_011393940.1	[0.9401308]
XP_011393947.1	[0.9184001]
XP_011393948.1	[0.8917516]
XP_011393968.1	[0.6956278]
XP_011393969.1	[0.7889716]
XP_011393982.1	[0.9874959]
XP_011393983.1	[0.9874959]
XP_011393984.1	[0.9874959]
XP_011393998.1	[0.5835964]
XP_011394043.1	[0.94380367]
XP_011394046.1	[0.9885223]
XP_011394049.1	[0.71326613]
XP_011394053.1	[0.90438414]
XP_011394062.1	[0.7015817]
XP_011394072.1	[0.99146944]
XP_011394073.1	[0.87647086]
XP_011394083.1	[0.96621424]
XP_011394084.1	[0.96621424]
XP_011394085.1	[0.6347643]
XP_011394086.1	[0.6347643]
XP_011394089.1	[0.837416]
XP_011394091.1	[0.9845264]
XP_011394092.1	[0.98349816]
XP_011394093.1	[0.9906944]
XP_011394094.1	[0.9906944]
XP_011394095.1	[0.9906944]
XP_011394098.1	[0.91108584]
XP_011394099.1	[0.8903254]
XP_011394180.1	[0.7963034]
XP_011394197.1	[0.7794822]
XP_011394198.1	[0.9813441]
XP_011394203.1	[0.9904812]
XP_011394204.1	[0.99048024]
XP_011394215.1	[0.5885999]
XP_011394229.1	[0.9914473]
XP_011394230.1	[0.9914473]
XP_011394256.1	[0.98496604]
XP_011394257.1	[0.9852337]
XP_011394265.1	[0.9905501]
XP_011394266.1	[0.9905501]
XP_011394280.1	[0.990081]
XP_011394282.1	[0.91310513]
XP_011394283.1	[0.91310513]
XP_011394284.1	[0.91310513]
XP_011394295.1	[0.98596674]
XP_011394296.1	[0.98580235]
XP_011394304.1	[0.9903852]
XP_011394332.1	[0.9867878]
XP_011394347.1	[0.93846065]
XP_011394349.1	[0.9901722]
XP_011394382.1	[0.98717356]
XP_011394383.1	[0.98932225]
XP_011394395.1	[0.9903966]
XP_011394416.1	[0.577071]
XP_011394429.1	[0.9546095]
XP_011394435.1	[0.95272493]
XP_011394439.1	[0.88323367]
XP_011394440.1	[0.8343807]
XP_011394446.1	[0.77847683]
XP_011394455.1	[0.54467654]
XP_011394456.1	[0.54467654]
XP_011394461.1	[0.9810667]
XP_011394462.1	[0.98049426]
XP_011394473.1	[0.9915788]
XP_011394474.1	[0.99151516]
XP_011394485.1	[0.5441484]
XP_011394486.1	[0.5377383]
XP_011394512.1	[0.9918745]
XP_011394513.1	[0.9911747]
XP_011394522.1	[0.9613771]
XP_011394523.1	[0.9613771]
XP_011394564.1	[0.7764782]
XP_011394565.1	[0.7764782]
XP_011394566.1	[0.9776857]
XP_011394567.1	[0.9889129]
XP_011394570.1	[0.6447896]
XP_011394571.1	[0.6481822]
XP_011394599.1	[0.7164893]
XP_011394600.1	[0.7164893]
XP_011394601.1	[0.7164893]
XP_011394606.1	[0.57316107]
XP_011394607.1	[0.57316107]
XP_011394641.1	[0.7917907]
XP_011394642.1	[0.7917907]
XP_011394643.1	[0.7062721]
XP_011394703.1	[0.9875141]
XP_011394704.1	[0.9875141]
XP_011394705.1	[0.9875141]
XP_011394706.1	[0.9875141]
XP_011394711.1	[0.882294]
XP_011394717.1	[0.9857178]
XP_011394731.1	[0.6830573]
XP_011394732.1	[0.99066204]
XP_011394733.1	[0.9902774]
XP_011394743.1	[0.5679879]
XP_011394749.1	[0.9894795]
XP_011394759.1	[0.9889608]
XP_011394760.1	[0.9889608]
XP_011394763.1	[0.94079447]
XP_011394764.1	[0.94079447]
XP_011394813.1	[0.8253234]
XP_011394838.1	[0.86290395]
XP_011394863.1	[0.7914999]
XP_011394924.1	[0.95831037]
XP_011394979.1	[0.80104935]
XP_011394980.1	[0.80104935]
XP_011394982.1	[0.96324897]
XP_011394990.1	[0.98288476]
XP_011394991.1	[0.97261435]
XP_011394999.1	[0.7298827]
XP_011395010.1	[0.57264143]
XP_011395011.1	[0.57264143]
XP_011395059.1	[0.9688946]
XP_011395063.1	[0.8213922]
XP_011395070.1	[0.96097374]
XP_011395125.1	[0.54835725]
XP_011395126.1	[0.54835725]
XP_011395150.1	[0.98442256]
XP_011395151.1	[0.98442256]
XP_011395152.1	[0.98442256]
XP_011395153.1	[0.98442256]
XP_011395172.1	[0.5341912]
XP_011395176.1	[0.7179775]
XP_011395177.1	[0.74157494]
XP_011395197.1	[0.77363443]
XP_011395198.1	[0.79958904]
XP_011395199.1	[0.788426]
XP_011395200.1	[0.77363443]
XP_011395220.1	[0.86977303]
XP_011395255.1	[0.98945963]
XP_011395256.1	[0.99019474]
XP_011395257.1	[0.99019474]
XP_011395258.1	[0.98945963]
XP_011395269.1	[0.9783733]
XP_011395270.1	[0.9783733]
XP_011395297.1	[0.9813136]
XP_011395317.1	[0.9656484]
XP_011395318.1	[0.96085566]
XP_011395319.1	[0.96085566]
XP_011395351.1	[0.54378533]
XP_011395372.1	[0.7530504]
XP_011395383.1	[0.75169885]
XP_011395385.1	[0.93438137]
XP_011395397.1	[0.9820149]
XP_955777.1	[0.9409884]
XP_955781.2	[0.95677584]
XP_955784.1	[0.9899638]
XP_955791.1	[0.9887193]
XP_955798.3	[0.9909021]
XP_955838.2	[0.9536196]
XP_955847.1	[0.98996043]
XP_955849.1	[0.9744124]
XP_955851.2	[0.9090649]
XP_955898.1	[0.9807793]
XP_955908.1	[0.97413784]
XP_955909.2	[0.6320066]
XP_955911.2	[0.9506543]
XP_955946.2	[0.8127161]
XP_955949.1	[0.98822]
XP_955953.1	[0.959194]
XP_955957.1	[0.6246613]
XP_955962.1	[0.93238425]
XP_956002.2	[0.85901827]
XP_956003.1	[0.7165315]
XP_956012.1	[0.9723771]
XP_956079.3	[0.9654969]
XP_956084.3	[0.98602784]
XP_956123.1	[0.9829433]
XP_956130.1	[0.5628652]
XP_956140.2	[0.71461064]
XP_956168.3	[0.5983337]
XP_956186.1	[0.98892784]
XP_956202.1	[0.7936213]
XP_956208.1	[0.9398062]
XP_956218.1	[0.98497295]
XP_956229.1	[0.6238604]
XP_956246.2	[0.9296519]
XP_956291.1	[0.8558319]
XP_956293.1	[0.7531086]
XP_956294.2	[0.6950801]
XP_956322.1	[0.98662204]
XP_956327.1	[0.8043988]
XP_956369.1	[0.68985415]
XP_956370.1	[0.98111343]
XP_956383.3	[0.9561972]
XP_956387.3	[0.5610116]
XP_956403.2	[0.99011034]
XP_956425.1	[0.9906296]
XP_956430.1	[0.68927616]
XP_956435.1	[0.98057723]
XP_956438.1	[0.9906819]
XP_956461.3	[0.9893561]
XP_956474.1	[0.86331105]
XP_956495.1	[0.74035686]
XP_956502.1	[0.8969828]
XP_956508.2	[0.9836595]
XP_956534.1	[0.99002224]
XP_956554.1	[0.96018004]
XP_956559.3	[0.9856222]
XP_956560.2	[0.9912833]
XP_956597.1	[0.85901827]
XP_956604.1	[0.84347224]
XP_956625.1	[0.97634196]
XP_956628.1	[0.967219]
XP_956643.1	[0.82969874]
XP_956668.3	[0.98802954]
XP_956687.2	[0.95071757]
XP_956700.1	[0.5122959]
XP_956709.3	[0.9889038]
XP_956721.2	[0.8633761]
XP_956755.2	[0.9888775]
XP_956781.3	[0.8082883]
XP_956799.3	[0.8674984]
XP_956815.2	[0.97449094]
XP_956825.1	[0.95225114]
XP_956864.3	[0.9907679]
XP_956902.3	[0.9561562]
XP_956919.1	[0.9784435]
XP_956958.2	[0.93009645]
XP_956964.1	[0.9858305]
XP_956981.1	[0.8319397]
XP_957004.1	[0.97639287]
XP_957025.3	[0.96194637]
XP_957082.1	[0.9278826]
XP_957128.2	[0.57490695]
XP_957137.1	[0.70821667]
XP_957139.1	[0.98377603]
XP_957199.1	[0.5789267]
XP_957203.1	[0.9253666]
XP_957209.1	[0.9871213]
XP_957214.2	[0.9907064]
XP_957220.1	[0.9636903]
XP_957221.3	[0.9849518]
XP_957224.3	[0.9249204]
XP_957268.1	[0.9210321]
XP_957274.3	[0.8332605]
XP_957278.1	[0.9547815]
XP_957294.1	[0.7945781]
XP_957302.2	[0.6294875]
XP_957305.1	[0.9885931]
XP_957316.2	[0.5773441]
XP_957320.1	[0.862621]
XP_957328.2	[0.98604774]
XP_957334.3	[0.9770955]
XP_957344.2	[0.95566714]
XP_957352.2	[0.97458726]
XP_957382.1	[0.8353062]
XP_957466.2	[0.52138716]
XP_957474.1	[0.9506586]
XP_957500.2	[0.98543173]
XP_957531.3	[0.9737162]
XP_957544.2	[0.990081]
XP_957570.2	[0.99180764]
XP_957577.2	[0.99073154]
XP_957595.1	[0.79484445]
XP_957596.1	[0.8883113]
XP_957601.2	[0.98341733]
XP_957613.2	[0.9627026]
XP_957616.1	[0.9905207]
XP_957630.3	[0.9558834]
XP_957633.1	[0.81346774]
XP_957637.1	[0.9881132]
XP_957643.1	[0.93014103]
XP_957662.2	[0.59570795]
XP_957665.1	[0.9894314]
XP_957668.2	[0.60576767]
XP_957673.3	[0.9894922]
XP_957688.3	[0.73590684]
XP_957728.2	[0.71043813]
XP_957795.2	[0.9481884]
XP_957800.2	[0.9898956]
XP_957811.1	[0.9918372]
XP_957845.3	[0.990247]
XP_957856.2	[0.9836796]
XP_957885.3	[0.9900213]
XP_957891.1	[0.9832327]
XP_957912.3	[0.9856371]
XP_957940.1	[0.8351652]
XP_957992.2	[0.79197866]
XP_957994.3	[0.53962344]
XP_958002.1	[0.9884765]
XP_958054.1	[0.950301]
XP_958079.1	[0.9734423]
XP_958089.2	[0.98576134]
XP_958117.1	[0.6383277]
XP_958121.1	[0.9862163]
XP_958175.2	[0.9847111]
XP_958180.1	[0.6155465]
XP_958244.2	[0.9011644]
XP_958269.3	[0.9844828]
XP_958292.1	[0.7646299]
XP_958383.1	[0.75960743]
XP_958398.1	[0.81274086]
XP_958400.1	[0.8098422]
XP_958432.3	[0.9777395]
XP_958466.1	[0.9830677]
XP_958476.3	[0.990765]
XP_958482.2	[0.6130806]
XP_958494.1	[0.931176]
XP_958544.2	[0.92443687]
XP_958587.1	[0.5881694]
XP_958606.1	[0.9759882]
XP_958623.3	[0.8917632]
XP_958632.1	[0.9325544]
XP_958640.1	[0.7262719]
XP_958660.2	[0.9861535]
XP_958673.1	[0.82930636]
XP_958675.2	[0.53872246]
XP_958681.1	[0.70081586]
XP_958696.1	[0.9692815]
XP_958716.1	[0.65075475]
XP_958768.3	[0.9887299]
XP_958771.1	[0.8583075]
XP_958775.2	[0.99004644]
XP_958782.2	[0.9626957]
XP_958783.2	[0.69684654]
XP_958788.1	[0.530559]
XP_958829.3	[0.9906707]
XP_958837.2	[0.9907488]
XP_958847.1	[0.61354333]
XP_958867.2	[0.9890876]
XP_958876.1	[0.7159773]
XP_958897.1	[0.72115237]
XP_958931.1	[0.9669429]
XP_958965.1	[0.87392145]
XP_958980.2	[0.9906268]
XP_958983.2	[0.98881465]
XP_959002.3	[0.9302707]
XP_959021.1	[0.86905]
XP_959038.1	[0.9772906]
XP_959048.3	[0.9907452]
XP_959091.1	[0.76755375]
XP_959098.1	[0.9753652]
XP_959123.2	[0.99073875]
XP_959128.3	[0.597564]
XP_959141.2	[0.98301655]
XP_959144.1	[0.9773491]
XP_959149.3	[0.9905998]
XP_959150.1	[0.9481664]
XP_959158.2	[0.99191064]
XP_959164.3	[0.53234285]
XP_959174.1	[0.9771558]
XP_959175.3	[0.9859196]
XP_959181.1	[0.6559511]
XP_959206.3	[0.98518986]
XP_959214.2	[0.96520877]
XP_959229.2	[0.7390577]
XP_959234.1	[0.61673045]
XP_959236.1	[0.85182846]
XP_959243.1	[0.95749885]
XP_959250.1	[0.8622622]
XP_959266.1	[0.9790163]
XP_959276.3	[0.75111353]
XP_959331.1	[0.96160805]
XP_959335.1	[0.9464073]
XP_959338.1	[0.8626059]
XP_959389.2	[0.9650384]
XP_959408.1	[0.97734773]
XP_959429.2	[0.9875272]
XP_959442.1	[0.96440834]
XP_959452.3	[0.99176675]
XP_959477.1	[0.9624515]
XP_959483.3	[0.92515033]
XP_959500.2	[0.9753087]
XP_959541.3	[0.98986185]
XP_959577.2	[0.98084843]
XP_959618.1	[0.9903992]
XP_959636.1	[0.5162709]
XP_959649.1	[0.72051907]
XP_959651.3	[0.9906855]
XP_959679.2	[0.99039465]
XP_959687.1	[0.9906742]
XP_959706.3	[0.9891426]
XP_959729.1	[0.9844274]
XP_959742.1	[0.93802977]
XP_959785.1	[0.87265486]
XP_959798.2	[0.7870376]
XP_959831.2	[0.98699445]
XP_959835.3	[0.637353]
XP_959882.1	[0.79838175]
XP_959895.1	[0.9162554]
XP_959906.1	[0.5598038]
XP_959920.1	[0.9504846]
XP_959945.1	[0.91800606]
XP_959951.3	[0.9903071]
XP_960002.2	[0.987205]
XP_960007.1	[0.86112326]
XP_960008.1	[0.8662202]
XP_960016.1	[0.5995534]
XP_960050.2	[0.56491774]
XP_960126.1	[0.9195978]
XP_960138.2	[0.7832122]
XP_960141.1	[0.9597684]
XP_960143.1	[0.814193]
XP_960149.1	[0.7143378]
XP_960198.1	[0.7257582]
XP_960201.2	[0.98635614]
XP_960207.1	[0.8056763]
XP_960209.2	[0.96270454]
XP_960219.1	[0.99184567]
XP_960222.1	[0.9422115]
XP_960244.1	[0.7071861]
XP_960283.1	[0.9270428]
XP_960322.2	[0.9857869]
XP_960327.3	[0.9678922]
XP_960343.1	[0.53567386]
XP_960358.2	[0.7258943]
XP_960359.3	[0.96183133]
XP_960366.2	[0.9807395]
XP_960368.3	[0.76203513]
XP_960377.1	[0.52383775]
XP_960383.1	[0.9808311]
XP_960386.3	[0.98864114]
XP_960389.1	[0.9848369]
XP_960406.1	[0.96508646]
XP_960407.3	[0.99050975]
XP_960421.1	[0.73416156]
XP_960492.1	[0.74724525]
XP_960493.1	[0.72937065]
XP_960498.1	[0.986083]
XP_960500.1	[0.5006144]
XP_960505.1	[0.91617155]
XP_960512.2	[0.9664284]
XP_960521.1	[0.95880437]
XP_960541.1	[0.5139579]
XP_960591.1	[0.78869194]
XP_960593.1	[0.85032827]
XP_960598.2	[0.63550895]
XP_960600.3	[0.6666764]
XP_960618.2	[0.97923344]
XP_960646.1	[0.98989373]
XP_960677.1	[0.5049237]
XP_960701.3	[0.98835784]
XP_960734.2	[0.9897087]
XP_960777.1	[0.821641]
XP_960787.1	[0.98141426]
XP_960800.1	[0.84012306]
XP_960809.2	[0.93732804]
XP_960846.1	[0.6516126]
XP_960915.2	[0.8348375]
XP_960927.1	[0.5557976]
XP_960943.2	[0.9894616]
XP_960967.1	[0.9868925]
XP_960970.1	[0.6070343]
XP_960978.2	[0.9906724]
XP_960995.1	[0.9162065]
XP_960996.2	[0.96068895]
XP_961058.3	[0.7321673]
XP_961068.1	[0.7035697]
XP_961084.2	[0.6448478]
XP_961085.2	[0.9900574]
XP_961101.1	[0.5608007]
XP_961139.2	[0.99134505]
XP_961150.3	[0.87758124]
XP_961158.1	[0.98753566]
XP_961171.2	[0.9835865]
XP_961211.1	[0.6110845]
XP_961266.1	[0.98311365]
XP_961268.1	[0.88362515]
XP_961320.1	[0.98954076]
XP_961326.1	[0.5950451]
XP_961348.2	[0.9588724]
XP_961370.2	[0.9907871]
XP_961389.1	[0.64698863]
XP_961397.2	[0.981222]
XP_961398.1	[0.9783946]
XP_961412.3	[0.5393374]
XP_961430.1	[0.8594456]
XP_961475.2	[0.98945916]
XP_961504.3	[0.99062634]
XP_961569.1	[0.5586911]
XP_961575.1	[0.9853909]
XP_961610.2	[0.66329676]
XP_961617.1	[0.6760079]
XP_961644.1	[0.88478595]
XP_961689.2	[0.6383749]
XP_961697.1	[0.8379731]
XP_961730.2	[0.6323927]
XP_961742.1	[0.9869223]
XP_961768.3	[0.6373]
XP_961778.1	[0.9524091]
XP_961794.1	[0.9820102]
XP_961830.3	[0.7944181]
XP_961833.1	[0.5127349]
XP_961837.1	[0.56103146]
XP_961867.2	[0.52275807]
XP_961937.1	[0.5197221]
XP_961952.2	[0.9884899]
XP_961953.1	[0.9905916]
XP_961959.3	[0.9882436]
XP_961975.1	[0.88876224]
XP_961978.1	[0.98981106]
XP_961994.1	[0.9876379]
XP_961999.3	[0.9427752]
XP_962004.1	[0.97143453]
XP_962017.1	[0.92263556]
XP_962031.2	[0.98515826]
XP_962048.1	[0.90478975]
XP_962056.1	[0.9918492]
XP_962065.2	[0.9902823]
XP_962079.3	[0.9865936]
XP_962085.1	[0.991903]
XP_962196.1	[0.5744206]
XP_962207.2	[0.97707534]
XP_962212.2	[0.74826354]
XP_962228.2	[0.62552434]
XP_962237.3	[0.98970383]
XP_962279.1	[0.9544616]
XP_962285.2	[0.52473104]
XP_962307.3	[0.93975085]
XP_962311.3	[0.98823035]
XP_962317.3	[0.9900502]
XP_962334.2	[0.52651125]
XP_962356.3	[0.98731947]
XP_962373.1	[0.6270662]
XP_962463.1	[0.7304689]
XP_962470.1	[0.9919109]
XP_962487.1	[0.82708555]
XP_962507.3	[0.9887149]
XP_962568.3	[0.687666]
XP_962586.2	[0.76881427]
XP_962598.1	[0.94246864]
XP_962599.1	[0.6645084]
XP_962605.1	[0.9899742]
XP_962611.1	[0.98770905]
XP_962628.1	[0.84143764]
XP_962630.3	[0.95025617]
XP_962646.2	[0.98428124]
XP_962670.2	[0.9867079]
XP_962712.2	[0.99066037]
XP_962723.2	[0.7187203]
XP_962724.1	[0.7800032]
XP_962740.1	[0.57517934]
XP_962763.1	[0.98530084]
XP_962765.1	[0.9893255]
XP_962780.1	[0.873255]
XP_962788.1	[0.54705834]
XP_962795.2	[0.8949975]
XP_962807.1	[0.86646354]
XP_962809.1	[0.92771554]
XP_962819.1	[0.9111449]
XP_962831.2	[0.9813768]
XP_962833.1	[0.9794524]
XP_962848.1	[0.85985124]
XP_962852.1	[0.98225135]
XP_962857.2	[0.9452395]
XP_962859.1	[0.7734623]
XP_962877.2	[0.9707714]
XP_962889.2	[0.9878377]
XP_962897.1	[0.99002177]
XP_962919.1	[0.51714426]
XP_962943.1	[0.9829677]
XP_962964.2	[0.988741]
XP_962980.1	[0.94215786]
XP_962984.2	[0.61173]
XP_962998.2	[0.9906935]
XP_963024.3	[0.62969387]
XP_963033.2	[0.78501123]
XP_963053.3	[0.9872312]
XP_963084.3	[0.72092694]
XP_963086.2	[0.97084594]
XP_963094.1	[0.88547105]
XP_963099.1	[0.8383922]
XP_963116.2	[0.99163824]
XP_963124.1	[0.60998076]
XP_963139.3	[0.89291835]
XP_963147.1	[0.679204]
XP_963149.3	[0.99078476]
XP_963162.2	[0.7978643]
XP_963180.1	[0.9366777]
XP_963196.1	[0.9875113]
XP_963205.1	[0.9271987]
XP_963206.2	[0.9453164]
XP_963212.2	[0.508355]
XP_963227.1	[0.6482387]
XP_963258.3	[0.5927276]
XP_963296.1	[0.85013425]
XP_963310.3	[0.9536101]
XP_963337.1	[0.91697925]
XP_963379.3	[0.97706336]
XP_963413.2	[0.9908092]
XP_963439.2	[0.52802664]
XP_963449.1	[0.83758307]
XP_963499.2	[0.9890456]
XP_963502.3	[0.8883247]
XP_963516.1	[0.9009995]
XP_963587.1	[0.9887588]
XP_963603.1	[0.98169315]
XP_963605.2	[0.97407836]
XP_963632.2	[0.80830175]
XP_963640.3	[0.98720235]
XP_963664.2	[0.918122]
XP_963678.1	[0.9759808]
XP_963710.1	[0.6055293]
XP_963739.1	[0.9749946]
XP_963763.3	[0.96873885]
XP_963766.1	[0.9898352]
XP_963771.1	[0.98074704]
XP_963796.3	[0.98716575]
XP_963819.3	[0.99185747]
XP_963824.1	[0.5428457]
XP_963833.3	[0.9825776]
XP_963834.2	[0.81044245]
XP_963839.1	[0.642871]
XP_963843.3	[0.9822574]
XP_963857.1	[0.79538673]
XP_963866.1	[0.9439329]
XP_963880.1	[0.816083]
XP_963922.2	[0.7866793]
XP_963929.1	[0.8926534]
XP_963943.3	[0.9852486]
XP_963957.2	[0.98431486]
XP_963974.3	[0.94733363]
XP_963984.2	[0.8415616]
XP_963992.3	[0.8173773]
XP_964010.1	[0.54961944]
XP_964016.1	[0.769856]
XP_964030.3	[0.9582659]
XP_964032.2	[0.7002785]
XP_964048.2	[0.99191964]
XP_964064.3	[0.99032277]
XP_964067.2	[0.9822651]
XP_964097.2	[0.5271798]
XP_964143.3	[0.9818158]
XP_964166.2	[0.73902863]
XP_964170.2	[0.9902063]
XP_964215.2	[0.5216756]
XP_964228.1	[0.94105506]
XP_964238.1	[0.7784014]
XP_964243.3	[0.98818856]
XP_964252.1	[0.95676225]
XP_964288.2	[0.66363513]
XP_964300.1	[0.9918317]
XP_964313.2	[0.9863993]
XP_964348.1	[0.982173]
XP_964376.2	[0.86859244]
XP_964393.1	[0.91309]
XP_964402.1	[0.89239144]
XP_964419.1	[0.9905911]
XP_964423.2	[0.8841471]
XP_964441.1	[0.79890263]
XP_964445.1	[0.6740387]
XP_964461.1	[0.7165131]
XP_964484.1	[0.98755753]
XP_964485.1	[0.978609]
XP_964497.1	[0.9902602]
XP_964528.1	[0.9546085]
XP_964531.2	[0.9873585]
XP_964578.1	[0.8263566]
XP_964584.2	[0.9467413]
XP_964590.1	[0.9898106]
XP_964605.1	[0.52500826]
XP_964610.1	[0.7030841]
XP_964617.1	[0.7616887]
XP_964620.1	[0.9128151]
XP_964655.1	[0.95169866]
XP_964671.1	[0.849451]
XP_964687.1	[0.984159]
XP_964706.1	[0.7705287]
XP_964717.2	[0.5687707]
XP_964752.3	[0.9834446]
XP_964755.2	[0.95690805]
XP_964760.1	[0.87425536]
XP_964787.1	[0.9219271]
XP_964818.2	[0.9563523]
XP_964822.1	[0.9130403]
XP_964836.1	[0.84895253]
XP_964842.1	[0.98876184]
XP_964856.1	[0.77920645]
XP_964864.1	[0.9574476]
XP_964871.1	[0.5227436]
XP_964877.2	[0.9885296]
XP_964882.2	[0.9749887]
XP_964895.1	[0.8892072]
XP_964898.1	[0.80718017]
XP_964904.2	[0.8122749]
XP_964921.2	[0.5168731]
XP_964965.1	[0.8290914]
XP_964972.1	[0.8885114]
XP_965008.1	[0.9877971]
XP_965015.2	[0.988684]
XP_965024.1	[0.985449]
XP_965043.2	[0.9727174]
XP_965055.1	[0.59851664]
XP_965067.3	[0.69256866]
XP_965093.1	[0.84845746]
XP_965097.1	[0.9918337]
