NP_001018031.2	[0.9382612]
NP_010264.3	[0.9813903]
NP_010282.3	[0.9856909]
NP_010300.3	[0.7274865]
NP_010309.3	[0.9452466]
NP_010317.3	[0.99005485]
NP_010328.3	[0.9882366]
NP_010366.1	[0.9477177]
NP_010381.1	[0.991147]
NP_010395.1	[0.8963294]
NP_010409.3	[0.7207906]
NP_010427.3	[0.9840242]
NP_010429.1	[0.96669364]
NP_010430.1	[0.98996675]
NP_010453.1	[0.947472]
NP_010472.3	[0.89701664]
NP_010493.1	[0.9918177]
NP_010499.1	[0.9898245]
NP_010502.3	[0.9852187]
NP_010510.3	[0.9747192]
NP_010511.3	[0.9384587]
NP_010514.3	[0.9860766]
NP_010515.3	[0.97179383]
NP_010539.1	[0.98887455]
NP_010545.3	[0.9901384]
NP_010552.3	[0.98899955]
NP_010581.3	[0.9849783]
NP_010582.3	[0.9239556]
NP_010589.3	[0.9880491]
NP_010599.1	[0.97940147]
NP_010610.3	[0.98583686]
NP_010649.1	[0.89635223]
NP_010650.1	[0.7797087]
NP_010667.1	[0.9785952]
NP_010685.1	[0.9695509]
NP_010692.3	[0.9753871]
NP_010708.1	[0.97717535]
NP_010709.1	[0.98354536]
NP_010711.3	[0.9860427]
NP_010739.3	[0.99145716]
NP_010752.3	[0.96562076]
NP_010757.3	[0.67960143]
NP_010763.2	[0.97844213]
NP_010766.3	[0.65717876]
NP_010773.4	[0.9729326]
NP_010793.2	[0.54579705]
NP_010808.3	[0.99072367]
NP_010852.4	[0.69322586]
NP_010907.3	[0.9916898]
NP_010909.1	[0.9390493]
NP_010945.1	[0.9864423]
NP_010949.4	[0.986226]
NP_010958.3	[0.990628]
NP_010964.3	[0.9918767]
NP_010966.1	[0.84890395]
NP_010985.1	[0.98586845]
NP_010986.1	[0.9695272]
NP_010991.3	[0.9670701]
NP_010992.1	[0.6019158]
NP_011012.3	[0.9880007]
NP_011036.1	[0.6063345]
NP_011039.1	[0.91435575]
NP_011056.1	[0.99178934]
NP_011075.3	[0.9918454]
NP_011085.1	[0.76078385]
NP_011088.1	[0.9826074]
NP_011094.3	[0.75865173]
NP_011096.1	[0.99153274]
NP_011098.3	[0.9522341]
NP_011103.1	[0.84827983]
NP_011104.3	[0.8276722]
NP_011111.1	[0.9669174]
NP_011260.1	[0.987257]
NP_011277.1	[0.985974]
NP_011306.1	[0.9913536]
NP_011314.2	[0.68838435]
NP_011332.2	[0.66223127]
NP_011349.3	[0.98297244]
NP_011353.1	[0.991679]
NP_011384.1	[0.9734972]
NP_011410.1	[0.8729949]
NP_011419.1	[0.9910977]
NP_011425.1	[0.53601986]
NP_011442.3	[0.9901462]
NP_011444.1	[0.9865568]
NP_011449.1	[0.96921766]
NP_011457.1	[0.97138107]
NP_011472.1	[0.95936644]
NP_011480.1	[0.9876366]
NP_011490.2	[0.9816597]
NP_011492.3	[0.5741938]
NP_011501.1	[0.95885825]
NP_011502.1	[0.98866206]
NP_011510.1	[0.9418255]
NP_011516.1	[0.9119713]
NP_011519.3	[0.9580511]
NP_011558.1	[0.9898543]
NP_011577.3	[0.9867884]
NP_011581.4	[0.97934693]
NP_011585.3	[0.9896757]
NP_011618.3	[0.97330725]
NP_011624.1	[0.96581215]
NP_011646.1	[0.9720205]
NP_011700.1	[0.8107356]
NP_011765.1	[0.99052244]
NP_011784.3	[0.9749829]
NP_011801.1	[0.9680337]
NP_011804.1	[0.990436]
NP_011836.1	[0.99035805]
NP_011838.1	[0.982178]
NP_011843.1	[0.9350215]
NP_011854.1	[0.98666835]
NP_011859.1	[0.5316378]
NP_011870.1	[0.9827611]
NP_011896.1	[0.8442966]
NP_011923.2	[0.9896068]
NP_011927.1	[0.86373395]
NP_011952.1	[0.8539411]
NP_011954.1	[0.5679752]
NP_011992.1	[0.9615741]
NP_012013.1	[0.977532]
NP_012035.1	[0.53137344]
NP_012047.1	[0.96534]
NP_012048.3	[0.96286845]
NP_012054.1	[0.9640869]
NP_012076.3	[0.99022675]
NP_012123.1	[0.9509232]
NP_012131.1	[0.96208197]
NP_012135.1	[0.5275036]
NP_012136.1	[0.99052775]
NP_012144.1	[0.9871789]
NP_012147.3	[0.9670049]
NP_012161.1	[0.8826026]
NP_012165.1	[0.95139945]
NP_012184.1	[0.9525205]
NP_012208.1	[0.9775079]
NP_012228.1	[0.99175173]
NP_012243.3	[0.98928845]
NP_012245.1	[0.56055015]
NP_012271.3	[0.69276536]
NP_012278.3	[0.9910295]
NP_012282.3	[0.9913271]
NP_012283.1	[0.9852586]
NP_012289.3	[0.99023867]
NP_012299.1	[0.9502646]
NP_012329.1	[0.9543468]
NP_012332.1	[0.8266647]
NP_012350.1	[0.6463689]
NP_012359.1	[0.9131674]
NP_012395.1	[0.9698436]
NP_012408.1	[0.9530007]
NP_012425.1	[0.9882559]
NP_012428.1	[0.5664918]
NP_012432.1	[0.99030286]
NP_012443.1	[0.70452106]
NP_012446.1	[0.990562]
NP_012451.1	[0.60525197]
NP_012459.1	[0.9849664]
NP_012479.1	[0.99174714]
NP_012494.3	[0.55580944]
NP_012529.3	[0.9854703]
NP_012586.1	[0.7720139]
NP_012594.1	[0.97701216]
NP_012617.1	[0.9349081]
NP_012622.3	[0.6826984]
NP_012624.1	[0.9844488]
NP_012661.3	[0.9713401]
NP_012700.1	[0.9900461]
NP_012718.1	[0.6834015]
NP_012736.1	[0.9883711]
NP_012761.1	[0.9631059]
NP_012778.1	[0.9508509]
NP_012797.1	[0.95613027]
NP_012810.1	[0.9699691]
NP_012817.1	[0.9865108]
NP_012861.1	[0.9918046]
NP_012864.1	[0.7748768]
NP_012865.1	[0.9705193]
NP_012881.1	[0.96518844]
NP_012886.3	[0.9878748]
NP_012893.3	[0.9829434]
NP_012905.1	[0.8040398]
NP_012910.1	[0.98502284]
NP_012921.3	[0.9888039]
NP_012935.3	[0.7155094]
NP_012946.3	[0.85054976]
NP_012959.1	[0.9847297]
NP_012964.2	[0.99086565]
NP_012974.1	[0.79321843]
NP_012988.1	[0.97333884]
NP_012989.3	[0.5949607]
NP_012990.1	[0.9895503]
NP_013017.2	[0.9772546]
NP_013025.3	[0.9806996]
NP_013046.2	[0.98685753]
NP_013079.1	[0.8172624]
NP_013088.1	[0.91423273]
NP_013113.1	[0.9908535]
NP_013114.1	[0.9855282]
NP_013115.1	[0.95226836]
NP_013197.1	[0.9175105]
NP_013199.1	[0.99061453]
NP_013232.1	[0.9903024]
NP_013242.1	[0.94485193]
NP_013283.1	[0.96965784]
NP_013320.1	[0.9593144]
NP_013324.1	[0.9407534]
NP_013329.1	[0.9904461]
NP_013357.1	[0.988378]
NP_013368.1	[0.9906204]
NP_013380.1	[0.98732334]
NP_013413.1	[0.70336866]
NP_013417.3	[0.9318235]
NP_013477.1	[0.97494125]
NP_013479.3	[0.991884]
NP_013503.1	[0.98284]
NP_013507.1	[0.99135524]
NP_013531.3	[0.9068948]
NP_013534.3	[0.81545204]
NP_013535.1	[0.9592691]
NP_013541.3	[0.86445266]
NP_013556.3	[0.9907838]
NP_013587.1	[0.9788624]
NP_013594.1	[0.9351282]
NP_013610.1	[0.98982036]
NP_013630.1	[0.9830192]
NP_013635.1	[0.98492044]
NP_013642.1	[0.98914576]
NP_013669.1	[0.988274]
NP_013685.1	[0.99190253]
NP_013695.2	[0.51053894]
NP_013703.1	[0.7512105]
NP_013707.1	[0.9878626]
NP_013718.1	[0.5510973]
NP_013729.1	[0.98479027]
NP_013732.1	[0.97783136]
NP_013734.1	[0.98194236]
NP_013743.1	[0.980287]
NP_013751.1	[0.9919109]
NP_013753.1	[0.95746464]
NP_013756.1	[0.9869338]
NP_013757.1	[0.98859346]
NP_013758.1	[0.9847408]
NP_013762.1	[0.7936274]
NP_013786.1	[0.99187577]
NP_013791.1	[0.9596272]
NP_013829.1	[0.95093626]
NP_013843.1	[0.9784066]
NP_013851.1	[0.95009744]
NP_013856.1	[0.9918826]
NP_013873.1	[0.9853491]
NP_013891.1	[0.9900831]
NP_013895.1	[0.9890325]
NP_013904.1	[0.51865214]
NP_013907.1	[0.9908564]
NP_013922.1	[0.6995791]
NP_013946.1	[0.984777]
NP_013955.1	[0.98630154]
NP_013959.1	[0.67927986]
NP_013960.1	[0.9817027]
NP_014007.1	[0.9882018]
NP_014085.1	[0.96798867]
NP_014112.1	[0.5701714]
NP_014121.1	[0.7904346]
NP_014151.1	[0.98429596]
NP_014154.1	[0.7857984]
NP_014183.1	[0.97486293]
NP_014193.1	[0.98245966]
NP_014232.1	[0.9829842]
NP_014235.1	[0.95640224]
NP_014245.1	[0.5305731]
NP_014263.1	[0.5795782]
NP_014275.3	[0.6978884]
NP_014281.1	[0.8747765]
NP_014286.1	[0.9885039]
NP_014296.4	[0.8842629]
NP_014325.3	[0.9583045]
NP_014331.3	[0.9742526]
NP_014348.3	[0.7792955]
NP_014359.3	[0.98969704]
NP_014367.1	[0.9535321]
NP_014368.1	[0.7195405]
NP_014371.1	[0.9918826]
NP_014373.3	[0.96295965]
NP_014375.1	[0.9868514]
NP_014461.3	[0.99019605]
NP_014506.1	[0.75636005]
NP_014530.1	[0.5714032]
NP_014539.1	[0.9354905]
NP_014552.1	[0.9873055]
NP_014569.1	[0.88864106]
NP_014574.1	[0.9899121]
NP_014614.1	[0.9884567]
NP_014631.1	[0.9901754]
NP_014638.1	[0.9862212]
NP_014642.1	[0.9136122]
NP_014666.1	[0.5557332]
NP_014671.1	[0.99013126]
NP_014675.1	[0.9896422]
NP_014709.1	[0.98026526]
NP_014753.1	[0.78718406]
NP_014756.3	[0.99066436]
NP_014766.1	[0.90479386]
NP_014767.3	[0.9833046]
NP_014770.1	[0.8617774]
NP_014775.3	[0.9802208]
NP_014783.4	[0.98501104]
NP_014805.3	[0.9907342]
NP_014815.3	[0.98922133]
NP_014817.3	[0.9504747]
NP_014837.1	[0.872583]
NP_014853.3	[0.9886708]
NP_014867.1	[0.9604558]
NP_014898.3	[0.5551178]
NP_014922.3	[0.87428224]
NP_014938.3	[0.9767327]
NP_014942.4	[0.96232164]
NP_014982.3	[0.9894196]
NP_014983.1	[0.65182054]
NP_014989.3	[0.9842502]
NP_015003.1	[0.9839903]
NP_015008.3	[0.9898408]
NP_015017.1	[0.9526778]
NP_015025.3	[0.9878198]
NP_015063.1	[0.9450402]
NP_015076.1	[0.9881797]
NP_015082.1	[0.7348427]
NP_015094.1	[0.99179333]
NP_015122.1	[0.89410645]
NP_015144.1	[0.57758814]
NP_015145.1	[0.73668987]
NP_015148.1	[0.99150556]
NP_015187.1	[0.8868871]
NP_015192.1	[0.9907569]
NP_015197.1	[0.96142644]
NP_015198.1	[0.94110423]
NP_015203.1	[0.9772285]
NP_015236.1	[0.97447145]
NP_015250.1	[0.55559176]
NP_015259.1	[0.9693512]
NP_015287.1	[0.9872792]
NP_015309.1	[0.55438876]
NP_015318.1	[0.9856764]
NP_015333.1	[0.98864603]
NP_015334.1	[0.98981184]
NP_015338.1	[0.9882053]
NP_015340.1	[0.9888699]
NP_015367.1	[0.78555477]
NP_015377.1	[0.99067336]
NP_015390.1	[0.98170805]
NP_015397.1	[0.8060107]
NP_015410.2	[0.93318367]
NP_015429.1	[0.930276]
NP_015431.1	[0.7617296]
NP_015440.1	[0.9349515]
NP_015497.1	[0.6235453]
NP_015505.1	[0.96848124]
NP_015512.1	[0.9919195]
NP_015513.1	[0.9913958]
NP_015516.1	[0.9783192]
NP_015522.1	[0.9883936]
NP_058133.1	[0.87875235]
NP_058162.3	[0.90838337]
NP_116603.1	[0.98896104]
NP_116620.1	[0.6938301]
NP_116622.1	[0.9822112]
NP_116632.1	[0.9895527]
NP_116671.1	[0.5352241]
NP_116674.2	[0.6609315]
NP_116692.1	[0.9797896]
NP_116695.3	[0.98937714]
NP_878113.4	[0.95985645]
